Date,Place,IMO number,Ship Name,Callsign,MMSI,Flag,Deficiencies,Detention,Ship Risk Profile
10.12.2019,"Kuching, Sarawak (Malaysia)",9823766,MCC TAIPEI,3EWS9,351038000,Panama,0,no,Low Risk Ship
10.12.2019,Penang (Malaysia),9865520,EVA TOKYO,3FST6,371809000,Panama,0,no,Standard Risk Ship
09.12.2019,"Kuching, Sarawak (Malaysia)",9225500,PIONEER C,T2XH4,572865210,Tuvalu,2,no,High Risk Ship
07.12.2019,"Kuching, Sarawak (Malaysia)",9311244,HOSEI 58,H9ME,354508000,Panama,0,no,Standard Risk Ship
07.12.2019,"Sandakan, Sabah (Malaysia)",9278703,BUM YOUNG,D7TV,441469000,"Korea, Republic of",0,no,Low Risk Ship
07.12.2019,"Sandakan, Sabah (Malaysia)",9383974,ATLANTIC CANYON,VRFG4,477225800,"Hong Kong, China",0,no,Standard Risk Ship
06.12.2019,Malacca (Malaysia),9773519,WEIYANG 012,T8A2500,511423000,Palau,18,no,High Risk Ship
06.12.2019,Port Kelang (Malaysia),9325386,SPRING ARAM,VRRG7,477147500,"Hong Kong, China",0,no,Standard Risk Ship
06.12.2019,"Lahad Datu, Sabah (Malaysia)",9530151,SCSC FORTUNE,VREK8,477264600,"Hong Kong, China",0,no,Standard Risk Ship
06.12.2019,Kemaman (Malaysia),9276298,TASCO PHOENIX,9V9433,566105000,Singapore,8,no,Standard Risk Ship
05.12.2019,Port Kelang (Malaysia),9416094,CARIBBEAN 1,3FTT2,353953000,Panama,0,no,Standard Risk Ship
05.12.2019,"Lahad Datu, Sabah (Malaysia)",9278674,MTM ST JEAN,9V3674,564475000,Singapore,0,no,Low Risk Ship
04.12.2019,Kuantan (Malaysia),9394832,FRIENDLY SEAS,A8QN9,636013974,Liberia,0,no,Standard Risk Ship
04.12.2019,Kuantan (Malaysia),9394832,FRIENDLY SEAS,A8QN9,636013974,Liberia,1,no,
04.12.2019,Port Kelang (Malaysia),9267857,PIONEER ELITE,T2LW5,572297220,Tuvalu,3,no,High Risk Ship
04.12.2019,Port Kelang (Malaysia),9764075,MEDI NAGOYA,3FKT3,355594000,Panama,1,no,Standard Risk Ship
04.12.2019,Port Kelang (Malaysia),9400899,CLIPPER KAMOSHIO,3FSK2,353262000,Panama,2,no,Standard Risk Ship
04.12.2019,Penang (Malaysia),9609263,SEA DRAGON 9999,3WGO9,574001410,Vietnam,3,no,High Risk Ship
04.12.2019,Tanjung Pelepas (Malaysia),9444730,SANTA CATARINA,OXRX2,219072000,Denmark,3,no,
03.12.2019,Kuantan (Malaysia),9266449,STAR THETA,V7OB2,538003050,Marshall Islands,2,no,High Risk Ship
03.12.2019,Kuantan (Malaysia),9726516,KMARIN OSLO,3ERH8,356752000,Panama,0,no,High Risk Ship
03.12.2019,"Labuan, Sabah (Malaysia)",9693862,SMS SERENITY,PLMB,525019678,Indonesia,6,no,
03.12.2019,Sarikei (Malaysia),9300946,MIGHTY BOSS,HOIT,352932000,Panama,11,no,
03.12.2019,"Sandakan, Sabah (Malaysia)",9444170,HONG LU,T3QY,529192000,Kiribati,4,no,High Risk Ship
03.12.2019,"Kuching, Sarawak (Malaysia)",9740653,MCC NANJING,TCA4232,271044570,Turkey,0,no,Standard Risk Ship
02.12.2019,Kuantan (Malaysia),9258557,ADASTRA,3FQF6,374460000,Panama,1,no,Standard Risk Ship
02.12.2019,"Labuan, Sabah (Malaysia)",9538830,NOBLE BULLY II,A8XM5,636014933,Liberia,0,no,Standard Risk Ship
02.12.2019,"Lahad Datu, Sabah (Malaysia)",9833436,GLOBAL JUPITER,3EUG8,357570000,Panama,0,no,Low Risk Ship
02.12.2019,"Kuching, Sarawak (Malaysia)",9128879,SCHUMI 2,HSB7223,567587000,Thailand,0,no,Low Risk Ship
02.12.2019,"Kota Kinabalu, Sabah (Malaysia)",9193862,INLACO BRIGHT,3FXB8,353854000,Panama,3,no,
01.12.2019,Tanjung Pelepas (Malaysia),9898307,PUTRI ANGGRENI 02,YB3890,525500241,Indonesia,6,no,
29.11.2019,"Tawau, Sabah (Malaysia)",9402811,OCEAN PREMIER,9VDL3,566378000,Singapore,0,no,Low Risk Ship
29.11.2019,"Bintulu, Sarawak (Malaysia)",9164031,QUEEN OF THE NETHERLANDS,5BGT2,210138000,Cyprus,1,no,Low Risk Ship
29.11.2019,"Kota Kinabalu, Sabah (Malaysia)",9279226,BIENDONG NAVIGATOR,3WKM,574280000,Vietnam,1,no,High Risk Ship
29.11.2019,"Kota Kinabalu, Sabah (Malaysia)",9279226,BIENDONG NAVIGATOR,3WKM,574280000,Vietnam,17,no,
29.11.2019,"Lahad Datu, Sabah (Malaysia)",9363807,SUN NEPTUNE,3EMK7,371097000,Panama,0,no,Standard Risk Ship
29.11.2019,"Pasir Gudang, Johor (Malaysia)",9038440,AL KHAZNAH,ELQQ7,636010034,Liberia,0,no,High Risk Ship
28.11.2019,"Kota Kinabalu, Sabah (Malaysia)",9436408,STORHOLMEN,V7RU6,538005554,Marshall Islands,0,no,Low Risk Ship
28.11.2019,Port Kelang (Malaysia),9342700,WAN HAI 316,9VKB5,565425000,Singapore,0,no,Low Risk Ship
28.11.2019,Port Kelang (Malaysia),9562960,TAN BINH 89,XVXD,574930000,Vietnam,2,no,Standard Risk Ship
28.11.2019,"Pasir Gudang, Johor (Malaysia)",9833230,PRINCESS TOPAZ,3EPM8,370645000,Panama,0,no,Standard Risk Ship
27.11.2019,Tanjung Pelepas (Malaysia),9898307,PUTRI ANGGRENI 02,YB3890,525500241,Indonesia,6,no,Standard Risk Ship
27.11.2019,"Pasir Gudang, Johor (Malaysia)",9174529,WATERFRONT 2,9V5525,564427000,Singapore,4,no,Standard Risk Ship
27.11.2019,"Labuan, Sabah (Malaysia)",9693862,SMS SERENITY,PLMB,525019678,Indonesia,2,no,Standard Risk Ship
27.11.2019,"Lahad Datu, Sabah (Malaysia)",9348510,THERESA LIBRA,9VCM2,565203000,Singapore,0,no,High Risk Ship
27.11.2019,"Pasir Gudang, Johor (Malaysia)",8540836,MARINA SYAHPUTRA 1,YB3262,525023034,Indonesia,3,no,
27.11.2019,"Pasir Gudang, Johor (Malaysia)",8540862,GEMBIRA 3,YB3252,525003569,Indonesia,3,no,
27.11.2019,"Pasir Gudang, Johor (Malaysia)",8540836,MARINA SYAHPUTRA 1,YB3262,525023034,Indonesia,2,no,High Risk Ship
26.11.2019,"Pasir Gudang, Johor (Malaysia)",8623858,SEA RAIDER II,YB3240,525023055,Indonesia,5,no,High Risk Ship
26.11.2019,"Pasir Gudang, Johor (Malaysia)",9600085,CITRA INDAH 99,YB3427,525012009,Indonesia,3,no,High Risk Ship
26.11.2019,"Pasir Gudang, Johor (Malaysia)",8540862,GEMBIRA 3,YB3252,525003569,Indonesia,5,no,High Risk Ship
26.11.2019,"Pasir Gudang, Johor (Malaysia)",8852124,GOLDEN RAIDER,YB3432,525023096,Indonesia,4,no,High Risk Ship
26.11.2019,Port Dickson (Malaysia),9891335,INDOMAL KINGDOM,YB3900,525500415,Indonesia,4,no,Standard Risk Ship
26.11.2019,"Pasir Gudang, Johor (Malaysia)",9380427,BMC ENDORA,3EKK4,372746000,Panama,0,no,High Risk Ship
26.11.2019,"Kuching, Sarawak (Malaysia)",9385790,BMC COSMOS,3EIS6,372381000,Panama,2,no,Standard Risk Ship
25.11.2019,Penang (Malaysia),9628568,BUNUN WISDOM,3FWR5,356822000,Panama,0,no,Standard Risk Ship
25.11.2019,Port Kelang (Malaysia),9811098,TAIHAI 3,VRRA6,477112500,"Hong Kong, China",4,no,
25.11.2019,Port Kelang (Malaysia),9811098,TAIHAI 3,VRRA6,477112500,"Hong Kong, China",0,no,Standard Risk Ship
25.11.2019,Port Kelang (Malaysia),9585455,HAM RONG 08,3WBS9,574000830,Vietnam,4,no,Standard Risk Ship
25.11.2019,Tanjung Pelepas (Malaysia),9196967,EVER UNICORN,9V7963,564995000,Singapore,0,no,Standard Risk Ship
25.11.2019,Tanjung Pelepas (Malaysia),9196967,EVER UNICORN,9V7963,564995000,Singapore,3,no,
25.11.2019,Kukup (Malaysia),9849162,OCEAN DRAGON 2,YB3783,525100945,Indonesia,5,no,
25.11.2019,Kukup (Malaysia),9849174,OCEAN DRAGON 3,YB3782,525100944,Indonesia,5,no,
24.11.2019,"Lahad Datu, Sabah (Malaysia)",9449429,DAWSON,T2MB5,572302220,Tuvalu,0,no,Low Risk Ship
24.11.2019,"Pasir Gudang, Johor (Malaysia)",8613657,ORELIA,JVVH6,457609000,Mongolia,2,no,High Risk Ship
23.11.2019,"Pasir Gudang, Johor (Malaysia)",9487251,DIYYINAH-I,A8XN8,636014943,Liberia,0,no,Standard Risk Ship
23.11.2019,"Kuching, Sarawak (Malaysia)",9189017,LADY FELIZ,3FBF9,357159000,Panama,5,no,
23.11.2019,"Kuching, Sarawak (Malaysia)",9189017,LADY FELIZ,3FBF9,357159000,Panama,0,no,High Risk Ship
22.11.2019,"Bintulu, Sarawak (Malaysia)",9531727,QIAN TAI 1,D5HD6,636016653,Liberia,0,no,Standard Risk Ship
22.11.2019,Port Kelang (Malaysia),9238181,WAN HAI 305,S6DT6,564640000,Singapore,0,no,Low Risk Ship
22.11.2019,Port Kelang (Malaysia),9449546,AGILITY,9VCL3,565743000,Singapore,0,no,Low Risk Ship
22.11.2019,Kuantan (Malaysia),9116682,PACIFIC PAMELA,3EGB2,374296000,Panama,7,no,
21.11.2019,"Pasir Gudang, Johor (Malaysia)",8613657,ORELIA,JVVH6,457609000,Mongolia,6,no,
21.11.2019,Port Kelang (Malaysia),9290189,TAN BINH 99,HPVP,356082000,Panama,2,no,Standard Risk Ship
20.11.2019,"Lahad Datu, Sabah (Malaysia)",9645786,STI FONTVIEILLE,V7BD2,538005118,Marshall Islands,0,no,Low Risk Ship
20.11.2019,"Lahad Datu, Sabah (Malaysia)",9645786,STI FONTVIEILLE,V7BD2,538005118,Marshall Islands,2,no,
20.11.2019,Kukup (Malaysia),9849174,OCEAN DRAGON 3,YB3782,525100944,Indonesia,5,no,High Risk Ship
20.11.2019,Port Kelang (Malaysia),9672052,KMARIN ULSAN,H9HM,355082000,Panama,0,no,High Risk Ship
20.11.2019,Tanjung Pelepas (Malaysia),9369966,CERIA INDOMAS,YB3582,525015007,Indonesia,6,no,
19.11.2019,"Bintulu, Sarawak (Malaysia)",9530979,GRACE C,D5DH8,636015884,Liberia,0,no,High Risk Ship
19.11.2019,Sarikei (Malaysia),9138630,UNITY,3EXS,352950000,Panama,0,no,High Risk Ship
19.11.2019,Sarikei (Malaysia),9196371,ABM JUSTICE,3FDM2,353551000,Panama,0,no,Standard Risk Ship
19.11.2019,"Kuching, Sarawak (Malaysia)",9824875,LT BERYL,9V5432,563037800,Singapore,0,no,Low Risk Ship
19.11.2019,"Kuching, Sarawak (Malaysia)",9840702,MAERSK BINTULU,9V6003,563083400,Singapore,0,no,Low Risk Ship
18.11.2019,"Pasir Gudang, Johor (Malaysia)",8674297,LEADER HK,,0,Mongolia,13,no,Standard Risk Ship
18.11.2019,"Bintulu, Sarawak (Malaysia)",9851696,CB ADRIATIC,CQAS4,255806262,Portugal,6,no,Standard Risk Ship
18.11.2019,Port Kelang (Malaysia),9254525,DA YING,HOWX,357501000,Panama,1,no,High Risk Ship
18.11.2019,Port Kelang (Malaysia),9444211,HOANG TRIEU 68,3WQR,574487000,Vietnam,4,no,Standard Risk Ship
18.11.2019,"Kuching, Sarawak (Malaysia)",9190987,YUN QIAN,3FWN5,356373000,Panama,2,no,High Risk Ship
18.11.2019,Sarikei (Malaysia),9437490,NORDANA MALEE,HSB4371,567383000,Thailand,0,no,Standard Risk Ship
18.11.2019,"Kuching, Sarawak (Malaysia)",9190987,YUN QIAN,3FWN5,356373000,Panama,5,no,
18.11.2019,Penang (Malaysia),9310032,XIN QUAN ZHOU,BPBM,413132000,China,0,no,Standard Risk Ship
17.11.2019,Tanjung Pelepas (Malaysia),9369966,CERIA INDOMAS,YB3582,525015007,Indonesia,4,no,Standard Risk Ship
17.11.2019,"Kota Kinabalu, Sabah (Malaysia)",9813814,TRIESTE TRADER,9HA4916,215009000,Malta,0,no,Low Risk Ship
16.11.2019,Kuantan (Malaysia),9407469,ANNA-MARIA,D5AS7,636092343,Liberia,0,no,High Risk Ship
16.11.2019,"Bintulu, Sarawak (Malaysia)",9111929,BEST LEADER,HP3953,352180000,Panama,0,no,High Risk Ship
16.11.2019,"Labuan, Sabah (Malaysia)",9483061,NPP NUSANTARA,PLLN,525003280,Indonesia,2,no,
15.11.2019,Malacca (Malaysia),8656972,OCEANLINE 5001,9LU2194,667001391,Sierra Leone,9,no,High Risk Ship
15.11.2019,Kuantan (Malaysia),9145530,SUN WINNER II,H8NE,374633000,Panama,2,no,High Risk Ship
15.11.2019,"Bintulu, Sarawak (Malaysia)",9116644,BEST TRAVELLER,HP5296,374634000,Panama,0,no,Standard Risk Ship
15.11.2019,Port Kelang (Malaysia),9326407,WAN HAI 507,9VJJ5,565536000,Singapore,0,no,Low Risk Ship
15.11.2019,"Kuching, Sarawak (Malaysia)",9769647,GLOBAL APOLLON,HPEV,374273000,Panama,0,no,Low Risk Ship
14.11.2019,Kerteh (Malaysia),9550668,SEVEN LADY,9HA4742,248647000,Malta,3,no,
14.11.2019,Port Kelang (Malaysia),9781009,ES LEADER,3EUK3,352359000,Panama,0,no,Standard Risk Ship
14.11.2019,Penang (Malaysia),9345972,APL ATLANTA,3EDF7,352385000,Panama,0,no,High Risk Ship
12.11.2019,Kuantan (Malaysia),9489247,CH DORIS,DSQZ4,441763000,"Korea, Republic of",0,no,Standard Risk Ship
12.11.2019,"Kota Kinabalu, Sabah (Malaysia)",9401697,CAPE NASSAU,9V8435,565967000,Singapore,0,no,Low Risk Ship
12.11.2019,Sarikei (Malaysia),9516557,EASTERN ACCORD,VRES6,477173300,"Hong Kong, China",0,no,Low Risk Ship
12.11.2019,"Kuching, Sarawak (Malaysia)",9438171,WINTER OAK,V7PO9,538005561,Marshall Islands,0,no,Low Risk Ship
12.11.2019,"Kuching, Sarawak (Malaysia)",9438171,WINTER OAK,V7PO9,538005561,Marshall Islands,2,no,
11.11.2019,Port Kelang (Malaysia),9226231,JADE CASTLE,T3WQ2,529929000,Kiribati,3,no,High Risk Ship
10.11.2019,"Bintulu, Sarawak (Malaysia)",9336763,ALPHA BULKER,3EEZ9,371977000,Panama,0,no,High Risk Ship
10.11.2019,"Kuching, Sarawak (Malaysia)",9287845,GLORY WISDOM,9V9314,566316000,Singapore,0,no,Low Risk Ship
10.11.2019,"Kuching, Sarawak (Malaysia)",9175822,NEW ACE,T3VL2,529901000,Kiribati,3,no,Standard Risk Ship
10.11.2019,Kukup (Malaysia),9849162,OCEAN DRAGON 2,YB3783,525100945,Indonesia,5,no,High Risk Ship
09.11.2019,"Kota Kinabalu, Sabah (Malaysia)",9283954,ABB BENTJE,CQAV6,255806288,Portugal,3,no,Low Risk Ship
08.11.2019,Port Kelang (Malaysia),9627071,TIEN THANH 26,3WDU9,574001120,Vietnam,1,no,High Risk Ship
08.11.2019,Port Kelang (Malaysia),9152208,ERAWAN 1,YEMT,525005350,Indonesia,4,no,High Risk Ship
08.11.2019,"Kuching, Sarawak (Malaysia)",9397236,BALTIC HARE,V7BX9,538003379,Marshall Islands,0,no,Low Risk Ship
08.11.2019,Penang (Malaysia),9275385,PORT KLANG VOYAGER,D7BD,440162000,"Korea, Republic of",1,no,High Risk Ship
07.11.2019,Tanjung Pelepas (Malaysia),9217981,SEA LATITUDE,D5VK3,636019632,Liberia,0,no,Low Risk Ship
07.11.2019,"Lahad Datu, Sabah (Malaysia)",9792929,GREAT VANGUARD,VRQB6,477209300,"Hong Kong, China",0,no,Low Risk Ship
07.11.2019,"Pasir Gudang, Johor (Malaysia)",9268215,XIANG HONG 27,9LU2178,667001375,Sierra Leone,31,no,High Risk Ship
07.11.2019,Tanjung Pelepas (Malaysia),9077886,SEA CORAL,E5U3066,518100121,Cook Islands,0,no,Standard Risk Ship
07.11.2019,Tanjung Pelepas (Malaysia),9183362,NEW PROSPERITY,D5GO3,636016519,Liberia,0,no,Standard Risk Ship
06.11.2019,"Pasir Gudang, Johor (Malaysia)",9272395,UACC SOUND,3FRE2,370722000,Panama,2,no,Standard Risk Ship
06.11.2019,"Pasir Gudang, Johor (Malaysia)",9268617,XIANG HONG 21,9LU2128,667001325,Sierra Leone,25,no,High Risk Ship
06.11.2019,"Pasir Gudang, Johor (Malaysia)",9308132,OCEAN VENUS,S6EP6,565192000,Singapore,1,no,Low Risk Ship
06.11.2019,"Bintulu, Sarawak (Malaysia)",9760574,TIGER INTEGRITY,VRQY5,477153500,"Hong Kong, China",0,no,Low Risk Ship
06.11.2019,"Kota Kinabalu, Sabah (Malaysia)",9800403,TAHO AFRICA,BKMF,416042000,"Taiwan, Province of China",0,no,Standard Risk Ship
06.11.2019,"Lahad Datu, Sabah (Malaysia)",9803998,GLOBAL NEPTUNE,3FAR6,354511000,Panama,0,no,Low Risk Ship
06.11.2019,"Pasir Gudang, Johor (Malaysia)",8689228,BERKAT MULIA - 9,YB3437,525018406,Indonesia,2,no,High Risk Ship
06.11.2019,"Lahad Datu, Sabah (Malaysia)",9386407,SEA BRAVERY,V7A2082,538008207,Marshall Islands,0,no,High Risk Ship
06.11.2019,"Pasir Gudang, Johor (Malaysia)",8689228,BERKAT MULIA - 9,YB3437,525018406,Indonesia,9,no,
